concessionaria;cod_agente_arrecadador;nome_agente_arrecadador;nome_grupo_loja;uf_cef;cidade_cef;uf_ag_nao_financeiro;mes_transacao;status;bu_description;estado;profit_center;cod_area;dat_tra;data_venda;midia;valor_face;qtde_recargas;valor_total;val_tarifa;val_tarifa_total;plano_tarifario;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
TCO;110002111;TELECOMNET - NUBANK 2;;;;;202410;Efetuada;UN Brasília;AC;J03AC068;68;01/10/2024 00:00:00;01/10/2024;PDV;30;35;1050;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
TSU;110002261;M4U CPT - RECO CREDITO VISA;;;;;202410;Efetuada;;PR;J33PR044G;44;01/10/2024 00:00:00;01/10/2024;Mobile APP;40;3;120;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
TCO;110000480;LIBERTYCTL-CIELO-MASTER;;;;;202410;Efetuada;UN Brasília;GO;J30GO062;62;01/10/2024 00:00:00;01/10/2024;Desconhecido;119,99;9;1079,91;;;PLANO TIM BLACK A EXPRESS 6 1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
TNO;110002091;RV C6 3;;;;;202410;Efetuada;UN Norte;AM;J30AM097;97;01/10/2024 00:00:00;01/10/2024;PDV;40;1;40;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
TNO;0100103524;REDEFLEX;;;;;202410;Efetuada;UN Norte;PA;J30PA091;91;01/10/2024 00:00:00;01/10/2024;PDV;20;2;40;;;PLANO TIM CONTROLE REDES SOCIAIS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
TSU;110002211;TELECOMNET  INTER 2;;;;;202410;Efetuada;;PR;J33PR042G;42;01/10/2024 00:00:00;01/10/2024;PDV;20;2;40;;;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
TSU;110002111;TELECOMNET - NUBANK 2;;;;;202410;Efetuada;;PR;J33PR044G;44;01/10/2024 00:00:00;01/10/2024;PDV;40;1;40;;;PLANO TIM CONTROLE LIGACOES ILIMITADAS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
TNE;110000426;CIELO - CREDITO DEMAIS BANDEIR;;;;;202410;Efetuada;;RN;J25RN084G;84;01/10/2024 00:00:00;01/10/2024;Web;20;1;20;;;PLANO TIM BETA;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
TRS;110002238;M4U APP - RECORRENTE PIX;;;;;202410;Efetuada;UN Sul;RS;J30RS051;51;01/10/2024 00:00:00;01/10/2024;Mobile APP - Pix;20;5;100;;;PLANO TIM BETA;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
TSU;110001791;BM DDD 41;;;;;202410;Efetuada;;PR;J33PR044G;44;01/10/2024 00:00:00;01/10/2024;PDV;30;1;30;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
TSP_C;0034100000;ITAU;;;;;202410;Efetuada;UN SP;SP;J30SP013;13;01/10/2024 00:00:00;01/10/2024;ATM;60;1;60;;;PLANO TIM BETA;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
TSU;110002269;M4U CPT - DEBITO VISA;;;;;202410;Efetuada;;PR;J33PR041G;41;01/10/2024 00:00:00;01/10/2024;Mobile APP;15;1;15;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
TSU;0034100000;ITAU;;;;;202410;Efetuada;;SC;J33SC049G;49;01/10/2024 00:00:00;01/10/2024;Web;20;1;20;;;PLANO TIM BETA;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
TCO;0100103215;RCA;;;;;202410;Efetuada;UN Brasília;DF;J30DF061;61;01/10/2024 00:00:00;01/10/2024;PDV;15;3;45;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
TBA;0000100000;BANCO DO BRASIL;;;;;202410;Efetuada;;BA;J06BA075G;75;01/10/2024 00:00:00;01/10/2024;Web;30;4;120;;;PLANO TIM PRE BOLETO A;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
TRJ;0023700000;BRADESCO;;;;;202410;Efetuada;UN Rio;RJ;J30RJ021;21;01/10/2024 00:00:00;01/10/2024;Mobile APP;30;2;60;;;PLANO TIM CONTROLE LIGACOES ILIMITADAS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
TMG;110002031;DBR DIGITAIS;;;;;202410;Efetuada;;MG;J06MG032G;32;01/10/2024 00:00:00;01/10/2024;PDV;40;1;40;;;PLANO TIM PRE BOLETO B;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
TNO;110002247;M4U APP - DEBITO ELO;;;;;202410;Efetuada;UN Norte;PA;J30PA091;91;01/10/2024 00:00:00;01/10/2024;Mobile APP;20;2;40;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
TSU;110002171;DBR PICPAY;;;;;202410;Efetuada;;SC;J33SC048G;48;01/10/2024 00:00:00;01/10/2024;PDV;30;1;30;;;PLANO TIM CONTROLE B PLUS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
TBA;110002239;M4U APP - ADESAO PIX;;;;;202410;Efetuada;;BA;J06BA077G;77;01/10/2024 00:00:00;01/10/2024;Mobile APP - Pix;20;7;140;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
TBA;110002051;RV - DIGITAIS 2;;;;;202410;Efetuada;;BA;J06BA074G;74;01/10/2024 00:00:00;01/10/2024;PDV;20;9;180;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
TCO;0023700000;BRADESCO;;;;;202410;Efetuada;UN Brasília;GO;J30GO062;62;01/10/2024 00:00:00;01/10/2024;Mobile APP;60;2;120;;;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
TNE;0010400000;CAIXA - CEF;;;;;202410;Efetuada;;PE;J25PE081G;81;01/10/2024 00:00:00;01/10/2024;Loterica;40;1;40;;;PLANO TIM CONTROLE LIGACOES ILIMITADAS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
TMG;110000021;M4U - RECORRENTE CREDITO VISA;;;;;202410;Efetuada;;MG;J06MG035G;35;01/10/2024 00:00:00;01/10/2024;Mobile APP;30;1;30;;;PLANO TIM CONTROLE SMART 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
TMG;110001941;TELECOMNET - DIGITAIS;;;;;202410;Efetuada;;MG;J06MG038G;38;01/10/2024 00:00:00;01/10/2024;PDV;30;3;90;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
