concessionaria;cod_agente_arrecadador;nome_agente_arrecadador;nome_grupo_loja;uf_cef;cidade_cef;uf_ag_nao_financeiro;mes_transacao;status;bu_description;estado;profit_center;cod_area;dat_tra;data_venda;midia;valor_face;qtde_recargas;valor_total;val_tarifa;val_tarifa_total;plano_tarifario;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
TNO;110000467;LIBERTYEXP-PIX-ENTRESSAFRA;;;;;202410;Efetuada;UN Norte;MA;J30MA098;98;01/10/2024 00:00:00;01/10/2024;Desconhecido;71,99;2;143,98;;;PLANO TIM CONTROLE C EXPRESS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
TSU;0000100000;BANCO DO BRASIL;;;;;202410;Efetuada;;SC;J33SC047G;47;01/10/2024 00:00:00;01/10/2024;Web;100;1;100;;;PLANO TIM BETA;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
TRS;0034100000;ITAU;;;;;202410;Efetuada;UN Sul;RS;J30RS055;55;01/10/2024 00:00:00;01/10/2024;Web;40;1;40;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
TCO;110002111;TELECOMNET - NUBANK 2;;;;;202410;Efetuada;UN Brasília;TO;J30TO063;63;01/10/2024 00:00:00;01/10/2024;PDV;50;1;50;;;PLANO TIM MAIS CONTROLE C EXPRESS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
TCO;110001331;MERCADO PAGO;;;;;202410;Efetuada;UN Brasília;MT;J30MT065;65;01/10/2024 00:00:00;01/10/2024;Web;20;1;20;;;PLANO TIM BETA;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
TSU;0010400000;CAIXA - CEF;;;;;202410;Efetuada;;SC;J33SC048G;48;01/10/2024 00:00:00;01/10/2024;Terminal de Caixa;17;1;17;;;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
TSU;110002240;M4U APP - RECO CREDITO VISA;;;;;202410;Efetuada;;PR;J33PR043G;43;01/10/2024 00:00:00;01/10/2024;Mobile APP;30;1;30;;;PLANO TIM CONTROLE A PLUS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
TMG;110000023;M4U - RECO CREDITO MASTER;;;;;202410;Efetuada;;MG;J06MG031G;31;01/10/2024 00:00:00;01/10/2024;Mobile APP;30;1;30;;;PLANO TIM CONTROLE REDES SOCIAIS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
TSP_I;110000423;LIBERTYWEB-CIELO-VISA;;;;;202410;Efetuada;UN SP;SP;J30SP016;16;01/10/2024 00:00:00;01/10/2024;Desconhecido;41,3;4;165,2;;;PLANO TIM MAIS CONTROLE B EXPRESS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
TMG;110002238;M4U APP - RECORRENTE PIX;;;;;202410;Efetuada;;MG;J06MG034G;34;01/10/2024 00:00:00;01/10/2024;Mobile APP - Pix;40;1;40;;;PLANO TIM CONTROLE C EXPRESS 6 1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
TBA;110000222;BM TNO;;;;;202410;Efetuada;;BA;J06BA077G;77;01/10/2024 00:00:00;01/10/2024;PDV;30;2;60;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
TSP_C;0010400000;CAIXA - CEF;;;;;202410;Efetuada;UN SP;SP;J30SP011;11;01/10/2024 00:00:00;01/10/2024;Web;30;3;90;;;PLANO TIM CONTROLE LIGACOES ILIMITADAS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
TSP_I;110002031;DBR DIGITAIS;;;;;202410;Efetuada;UN SP;SP;J30SP015;15;01/10/2024 00:00:00;01/10/2024;PDV;50;1;50;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
TBA;0100103507;DOURACARD;;;;;202410;Efetuada;;BA;J06BA071G;71;01/10/2024 00:00:00;01/10/2024;Web;60;1;60;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
TSP_C;110000403;M4U - PROGRAMADA CREDITO MASTE;;;;;202410;Efetuada;UN SP;SP;J30SP013;13;01/10/2024 00:00:00;01/10/2024;Desconhecido;20;1;20;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
TRJ;0100103024;RV;;;;;202410;Efetuada;UN Rio;RJ;J30RJ021;21;01/10/2024 00:00:00;01/10/2024;PDV;30;2;60;;;PLANO TIM CONTROLE A PLUS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
TNE;110000405;M4U - PROGRAMADA CREDITO HIPER;;;;;202410;Efetuada;;PB;J25PB083G;83;01/10/2024 00:00:00;01/10/2024;Desconhecido;30;6;180;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
TMG;110002262;M4U CPT - RECO CREDITO MASTER;;;;;202410;Efetuada;;MG;J06MG037G;37;01/10/2024 00:00:00;01/10/2024;Mobile APP;15;3;45;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
TNE;110002243;M4U APP - DEBITO MASTER;;;;;202410;Efetuada;;PE;J25PE081G;81;01/10/2024 00:00:00;01/10/2024;Mobile APP;30;1;30;;;PLANO TIM CONTROLE REDES SOCIAIS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
TSU;0000100000;BANCO DO BRASIL;;;;;202410;Efetuada;;PR;J33PR043G;43;01/10/2024 00:00:00;01/10/2024;Web;60;3;180;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
TRS;110002054;RV - IS2B CELCOIN 2;;;;;202410;Efetuada;UN Sul;RS;J30RS054;54;01/10/2024 00:00:00;01/10/2024;PDV;20;1;20;;;PLANO TIM CONTROLE J EXPRESS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
TSP_C;110002240;M4U APP - RECO CREDITO VISA;;;;;202410;Efetuada;UN SP;SP;J30SP011;11;01/10/2024 00:00:00;01/10/2024;Mobile APP;30;1;30;;;PLANO TIM BLACK A EXPRESS 6 1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
TNE;0023700000;BRADESCO;;;;;202410;Efetuada;;PE;J25PE087G;87;01/10/2024 00:00:00;01/10/2024;Web;20;1;20;;;PLANO TIM BETA;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
TNE;110002171;DBR PICPAY;;;;;202410;Efetuada;;PE;J25PE081G;81;01/10/2024 00:00:00;01/10/2024;PDV;20;1;20;;;PLANO TIM CONTROLE D EXPRESS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
TSU;110002031;DBR DIGITAIS;;;;;202410;Efetuada;;SC;J33SC047G;47;01/10/2024 00:00:00;01/10/2024;PDV;50;2;100;;;PLANO TIM CONTROLE A PLUS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
TRS;110000623;BEMOBI - MASTERCARD;;;;;202410;Efetuada;UN Sul;RS;J30RS055;55;01/10/2024 00:00:00;01/10/2024;Mobile APP;30;2;60;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
TCO;110001941;TELECOMNET - DIGITAIS;;;;;202410;Efetuada;UN Brasília;DF;J30DF061;61;01/10/2024 00:00:00;01/10/2024;Web;20;1;20;;;PLANO TIM CONTROLE REDES SOCIAIS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
TNE;0100103507;DOURACARD;;;;;202410;Efetuada;;CE;J25CE085G;85;01/10/2024 00:00:00;01/10/2024;PDV;60;1;60;;;PLANO TIM CONTROLE REDES SOCIAIS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
TRJ;110002259;M4U CPT - RECORRENTE PIX;;;;;202410;Efetuada;UN Rio;RJ;J30RJ024;24;01/10/2024 00:00:00;01/10/2024;Mobile APP - Pix;30;1;30;;;PLANO TIM CONTROLE LIGACOES ILIMITADAS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
TSU;110002091;RV C6 3;;;;;202410;Efetuada;;PR;J33PR042G;42;01/10/2024 00:00:00;01/10/2024;PDV;30;32;960;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
TSP_C;0034100000;ITAU;;;;;202410;Efetuada;UN SP;SP;J30SP013;13;01/10/2024 00:00:00;01/10/2024;Web;60;35;2100;;;PLANO TIM BETA;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
TNE;110002258;M4U CPT - ADES CREDITO MASTER;;;;;202410;Efetuada;;PB;J25PB083G;83;01/10/2024 00:00:00;01/10/2024;Mobile APP;15;9;135;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
TRS;0023700000;BRADESCO;;;;;202410;Efetuada;UN Sul;RS;J30RS055;55;01/10/2024 00:00:00;01/10/2024;Corban;50;1;50;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
TSP_I;110002171;DBR PICPAY;;;;;202410;Efetuada;UN SP;SP;J30SP015;15;01/10/2024 00:00:00;01/10/2024;PDV;60;1;60;;;PLANO TIM BETA;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
TRS;110002238;M4U APP - RECORRENTE PIX;;;;;202410;Efetuada;UN Sul;RS;J30RS051;51;01/10/2024 00:00:00;01/10/2024;Mobile APP - Pix;20;2;40;;;PLANO TIM CONTROLE A PLUS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
TCO;110002111;TELECOMNET - NUBANK 2;;;;;202410;Efetuada;UN Brasília;GO;J30GO062;62;01/10/2024 00:00:00;01/10/2024;PDV;25;2;50;;;PLANO TIM CONTROLE J EXPRESS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
TMG;110000402;M4U - PROGRAMADA CREDITO VISA;;;;;202410;Efetuada;;MG;J06MG031G;31;01/10/2024 00:00:00;01/10/2024;Desconhecido;60;1;60;;;PLANO TIM CONTROLE SMART 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
TBA;110000403;M4U - PROGRAMADA CREDITO MASTE;;;;;202410;Efetuada;;BA;J06BA073G;73;01/10/2024 00:00:00;01/10/2024;Desconhecido;60;3;180;;;PLANO TIM BETA;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
TSP_I;0100103507;DOURACARD;;;;;202410;Efetuada;UN SP;SP;J30SP015;15;01/10/2024 00:00:00;01/10/2024;PDV;15;1;15;;;PLANO TIM CONTROLE A EXPRESS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
TSU;0000100000;BANCO DO BRASIL;;;;;202410;Efetuada;;PR;J33PR044G;44;01/10/2024 00:00:00;01/10/2024;Web;30;2;60;;;PLANO TIM CONTROLE SMART 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
TRJ;110000464;LIBERTYEXP-CIELO-MASTER;;;;;202410;Efetuada;UN Rio;RJ;J30RJ022;22;01/10/2024 00:00:00;01/10/2024;Desconhecido;23,82;1;23,82;;;PLANO TIM MAIS CONTROLE A EXPRESS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
TNO;110002111;TELECOMNET - NUBANK 2;;;;;202410;Efetuada;UN Norte;PA;J30PA094;94;01/10/2024 00:00:00;01/10/2024;PDV;25;3;75;;;PLANO TIM BETA;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
TSP_C;0100103077;BM LOGISTICA;;;;;202410;Efetuada;UN SP;SP;J30SP011;11;01/10/2024 00:00:00;01/10/2024;PDV;15;7;105;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
TMG;0023700000;BRADESCO;;;;;202410;Efetuada;;MG;J06MG031G;31;01/10/2024 00:00:00;01/10/2024;Corban;100;1;100;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
TNO;110000402;M4U - PROGRAMADA CREDITO VISA;;;;;202410;Efetuada;UN Norte;PA;J30PA094;94;01/10/2024 00:00:00;01/10/2024;Desconhecido;30;2;60;;;PLANO TIM CONTROLE LIGACOES ILIMITADAS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
